Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY241230C00590000_152,SPY241230C00590000_152,Sell,Cancelled,0,2,1.22,,DAY,12/30/2024 12:24:06 EST,
SPY241230C00590000_748,SPY241230C00590000_748,Sell,Cancelled,0,2,1.69,,DAY,12/30/2024 12:24:06 EST,
SPY241230C00590000_635,SPY241230C00590000_635,Buy,Filled,2,2,1.18,1.18,DAY,12/30/2024 12:01:48 EST,12/30/2024 12:01:48 EST
SPY241230C00588000_794,SPY241230C00588000_794,Sell,Filled,2,2,1.73,1.73,DAY,12/30/2024 11:51:40 EST,12/30/2024 11:51:40 EST
SPY241230C00588000_175,SPY241230C00588000_175,Buy,Filled,2,2,1.61,1.61,DAY,12/30/2024 11:50:31 EST,12/30/2024 11:50:31 EST
SPY241230C00590000_481,SPY241230C00590000_481,Sell,Filled,1,1,0.69,0.69,DAY,12/30/2024 11:48:27 EST,12/30/2024 11:48:27 EST
SPY241230C00590000_944,SPY241230C00590000_944,Sell,Filled,1,1,1.09,1.09,DAY,12/30/2024 11:44:42 EST,12/30/2024 11:44:42 EST
SPY241230C00590000_800,SPY241230C00590000_800,Buy,Filled,1,1,0.57,0.57,DAY,12/30/2024 11:26:27 EST,12/30/2024 11:26:28 EST
SPY241230C00590000_502,SPY241230C00590000_502,Sell,Cancelled,0,1,0.39,,DAY,12/30/2024 11:26:09 EST,
SPY241230C00590000_223,SPY241230C00590000_223,Sell,Cancelled,0,1,1.03,,DAY,12/30/2024 11:26:09 EST,
SPY241230C00590000_816,SPY241230C00590000_816,Sell,Filled,1,1,0.61,0.61,DAY,12/30/2024 11:22:47 EST,12/30/2024 11:22:48 EST
SPY241230C00590000_278,SPY241230C00590000_278,Sell,Filled,1,1,0.45,0.45,DAY,12/30/2024 10:56:20 EST,12/30/2024 10:56:21 EST
SPY241230C00590000_470,SPY241230C00590000_470,Buy,Filled,1,1,0.3,0.3,DAY,12/30/2024 10:49:31 EST,12/30/2024 10:49:31 EST
SPY241230C00590000_723,SPY241230C00590000_723,Buy,Filled,1,1,0.52,0.52,DAY,12/30/2024 10:44:08 EST,12/30/2024 10:44:08 EST
SPY241230C00590000_445,SPY241230C00590000_445,Buy,Filled,1,1,0.31,0.31,DAY,12/30/2024 10:37:51 EST,12/30/2024 10:37:51 EST
SPY241230P00583000_233,SPY241230P00583000_233,Sell,Filled,2,2,1.04,1.04,DAY,12/30/2024 10:25:21 EST,12/30/2024 10:25:21 EST
SPY241230P00583000_449,SPY241230P00583000_449,Buy,Filled,2,2,0.95,0.95,DAY,12/30/2024 09:57:29 EST,12/30/2024 09:57:30 EST
SPY241230P00583000_604,SPY241230P00583000_604,Sell,Filled,1,1,0.81,0.81,DAY,12/30/2024 09:50:33 EST,12/30/2024 09:50:33 EST
SPY241230P00583000_963,SPY241230P00583000_963,Buy,Filled,1,1,1.0,1.0,DAY,12/30/2024 09:43:08 EST,12/30/2024 09:43:08 EST
SPY241227P00591000_113,SPY241227P00591000_113,Sell,Cancelled,0,1,1.22,,DAY,12/27/2024 10:35:25 EST,
SPY241227P00591000_228,SPY241227P00591000_228,Sell,Filled,1,1,0.78,0.78,DAY,12/27/2024 10:35:25 EST,12/27/2024 10:37:49 EST
SPY241227P00591000_271,SPY241227P00591000_271,Buy,Filled,1,1,0.76,0.76,DAY,12/27/2024 10:24:55 EST,12/27/2024 10:24:55 EST
SPY241227P00595000_920,SPY241227P00595000_920,Sell,Filled,1,1,2.63,2.63,DAY,12/27/2024 10:21:16 EST,12/27/2024 10:21:16 EST
SPY241227P00595000_703,SPY241227P00595000_703,Sell,Filled,1,1,1.17,1.17,DAY,12/27/2024 10:02:23 EST,12/27/2024 10:02:23 EST
SPY241227P00595000_815,SPY241227P00595000_815,Buy,Filled,1,1,0.79,0.79,DAY,12/27/2024 09:37:28 EST,12/27/2024 09:37:28 EST
SPY241227P00595000_155,SPY241227P00595000_155,Buy,Filled,1,1,0.52,0.52,DAY,12/27/2024 09:32:12 EST,12/27/2024 09:32:12 EST
SPY241226P00601000_921,SPY241226P00601000_921,Sell,Filled,1,1,0.98,0.98,DAY,12/26/2024 12:48:52 EST,12/26/2024 12:48:52 EST
SPY241226P00601000_998,SPY241226P00601000_998,Sell,Filled,1,1,0.86,0.86,DAY,12/26/2024 12:48:06 EST,12/26/2024 12:48:06 EST
SPY241226P00601000_957,SPY241226P00601000_957,Buy,Filled,2,2,0.61,0.61,DAY,12/26/2024 12:46:46 EST,12/26/2024 12:46:46 EST
SPY241226C00600000_697,SPY241226C00600000_697,Sell,Filled,1,1,1.94,1.94,DAY,12/26/2024 11:50:58 EST,12/26/2024 11:50:58 EST
SPY241226C00600000_765,SPY241226C00600000_765,Buy,Filled,1,1,1.65,1.65,DAY,12/26/2024 11:19:01 EST,12/26/2024 11:19:01 EST
SPY241226C00600000_373,SPY241226C00600000_373,Sell,Filled,2,2,1.57,1.57,DAY,12/26/2024 11:14:57 EST,12/26/2024 11:14:57 EST
SPY241226C00600000_518,SPY241226C00600000_518,Buy,Filled,2,2,1.33,1.33,DAY,12/26/2024 10:52:16 EST,12/26/2024 10:52:16 EST
SPY241223C00593000_706,SPY241223C00593000_706,Sell,Cancelled,0,1,1.36,,DAY,12/23/2024 13:09:00 EST,
SPY241223C00593000_268,SPY241223C00593000_268,Sell,Filled,1,1,0.81,0.81,DAY,12/23/2024 13:09:00 EST,12/23/2024 13:17:25 EST
SPY241223C00593000_437,SPY241223C00593000_437,Sell,Filled,1,1,0.92,0.92,DAY,12/23/2024 13:05:40 EST,12/23/2024 13:05:41 EST
SPY241223C00593000_190,SPY241223C00593000_190,Buy,Filled,2,2,0.71,0.71,DAY,12/23/2024 12:32:29 EST,12/23/2024 12:32:29 EST
SPY241220C00588000_960,SPY241220C00588000_960,Sell,Filled,1,1,6.45,6.45,DAY,12/20/2024 12:01:06 EST,12/20/2024 12:01:07 EST
SPY241220C00588000_576,SPY241220C00588000_576,Buy,Filled,1,1,3.34,3.34,DAY,12/19/2024 10:39:10 EST,12/19/2024 10:39:10 EST
SPY241220C00593000_860,SPY241220C00593000_860,Sell,Filled,1,1,0.96,0.96,DAY,12/19/2024 10:32:22 EST,12/19/2024 10:32:23 EST
SPY241220C00593000_245,SPY241220C00593000_245,Buy,Filled,1,1,2.15,2.15,DAY,12/18/2024 15:47:52 EST,12/18/2024 15:47:52 EST
TSLA241220C00497500_853,TSLA241220C00497500_853,Sell,Filled,1,1,5.25,5.25,DAY,12/18/2024 11:14:08 EST,12/18/2024 11:14:08 EST
TSLA241220C00497500_878,TSLA241220C00497500_878,Buy,Filled,1,1,5.21,5.21,DAY,12/18/2024 10:07:23 EST,12/18/2024 10:07:23 EST
SPY241216C00606000_285,SPY241216C00606000_285,Sell,Filled,2,2,0.92,0.92,DAY,12/16/2024 11:07:37 EST,12/16/2024 11:18:39 EST
SPY241216C00606000_818,SPY241216C00606000_818,Sell,Cancelled,0,2,1.72,,DAY,12/16/2024 11:07:37 EST,
SPY241216C00606000_327,SPY241216C00606000_327,Buy,Filled,2,2,1.15,1.15,DAY,12/16/2024 11:05:28 EST,12/16/2024 11:05:28 EST
SPY241216C00606000_410,SPY241216C00606000_410,Buy,Cancelled,0,2,1.05,,DAY,12/16/2024 11:04:06 EST,
SPY241216C00606000_504,SPY241216C00606000_504,Sell,Filled,2,2,0.98,0.98,DAY,12/16/2024 11:03:39 EST,12/16/2024 11:03:39 EST
SPY241216C00606000_504,SPY241216C00606000_504,Buy,Filled,2,2,1.19,1.19,DAY,12/16/2024 10:57:38 EST,12/16/2024 10:57:39 EST
SPY241213C00603000_874,SPY241213C00603000_874,Sell,Filled,1,1,1.66,1.66,DAY,12/13/2024 11:36:34 EST,12/13/2024 11:36:34 EST
SPY241213C00603000_301,SPY241213C00603000_301,Sell,Cancelled,0,1,2.18,,DAY,12/13/2024 11:33:01 EST,
SPY241213C00603000_469,SPY241213C00603000_469,Sell,Cancelled,0,1,1.11,,DAY,12/13/2024 11:33:01 EST,
SPY241213C00603000_583,SPY241213C00603000_583,Sell,Filled,1,1,1.52,1.52,DAY,12/13/2024 11:32:45 EST,12/13/2024 11:32:45 EST
SPY241213C00603000_866,SPY241213C00603000_866,Sell,Cancelled,0,2,2.1,,DAY,12/13/2024 11:18:33 EST,
SPY241213C00603000_599,SPY241213C00603000_599,Sell,Cancelled,0,2,0.88,,DAY,12/13/2024 11:18:33 EST,
SPY241213C00603000_746,SPY241213C00603000_746,Buy,Filled,2,2,1.3,1.3,DAY,12/13/2024 11:18:01 EST,12/13/2024 11:18:01 EST
SPY241213C00603000_189,SPY241213C00603000_189,Buy,Cancelled,0,2,1.22,,DAY,12/13/2024 11:17:47 EST,
SPY241213C00603000_341,SPY241213C00603000_341,Buy,Cancelled,0,2,1.05,,DAY,12/13/2024 11:12:09 EST,
SPY241213P00607000_387,SPY241213P00607000_387,Sell,Filled,1,1,1.2,1.2,DAY,12/13/2024 09:55:50 EST,12/13/2024 09:55:50 EST
SPY241213P00607000_300,SPY241213P00607000_300,Sell,Filled,1,1,1.18,1.18,DAY,12/13/2024 09:54:55 EST,12/13/2024 09:54:56 EST
SPY241213P00607000_184,SPY241213P00607000_184,Buy,Filled,2,2,0.94,0.94,DAY,12/13/2024 09:50:44 EST,12/13/2024 09:50:44 EST
SPY241211C00603000_418,SPY241211C00603000_418,Sell,Filled,1,1,3.99,3.99,DAY,12/11/2024 10:12:07 EST,12/11/2024 10:12:07 EST
SPY241211C00603000_329,SPY241211C00603000_329,Sell,Cancelled,0,1,3.53,,DAY,12/11/2024 09:58:57 EST,
SPY241211C00603000_286,SPY241211C00603000_286,Sell,Cancelled,0,1,4.07,,DAY,12/11/2024 09:58:57 EST,
SPY241211C00603000_409,SPY241211C00603000_409,Buy,Filled,1,1,3.52,3.52,DAY,12/11/2024 09:51:42 EST,12/11/2024 09:51:52 EST
SPY241209P00608000_440,SPY241209P00608000_440,Sell,Filled,1,1,1.76,1.76,DAY,12/09/2024 10:35:37 EST,12/09/2024 10:35:37 EST
SPY241209P00608000_695,SPY241209P00608000_695,Sell,Filled,1,1,1.12,1.12,DAY,12/06/2024 15:46:13 EST,12/06/2024 15:46:14 EST
SPY241209P00608000_185,SPY241209P00608000_185,Buy,Filled,1,1,1.23,1.23,DAY,12/06/2024 15:38:03 EST,12/06/2024 15:38:03 EST
SPY241209P00608000_983,SPY241209P00608000_983,Buy,Filled,1,1,1.31,1.31,DAY,12/06/2024 15:08:42 EST,12/06/2024 15:08:42 EST
SPY240925C00569000_332,SPY240925C00569000_332,Sell,Cancelled,0,2,2.02,,DAY,09/25/2024 13:54:31 EST,
SPY240925C00569000_393,SPY240925C00569000_393,Sell,Filled,2,2,1.02,1.02,DAY,09/25/2024 13:54:31 EST,09/25/2024 14:08:30 EST
SPY240925C00569000_959,SPY240925C00569000_959,Buy,Filled,2,2,1.22,1.22,DAY,09/25/2024 13:54:07 EST,09/25/2024 13:54:07 EST
SPY240925C00569000_418,SPY240925C00569000_418,Buy,Cancelled,0,2,1.07,,DAY,09/25/2024 13:53:55 EST,
SPY240924P00568000_767,SPY240924P00568000_767,Sell,Filled,1,1,0.9,0.9,DAY,09/24/2024 10:31:12 EST,09/24/2024 10:31:12 EST
SPY240924P00568000_366,SPY240924P00568000_366,Buy,Filled,1,1,0.95,0.95,DAY,09/24/2024 10:30:57 EST,09/24/2024 10:30:57 EST
SPY240924C00568000_514,SPY240924C00568000_514,Sell,Filled,2,2,1.06,1.06,DAY,09/24/2024 10:23:06 EST,09/24/2024 10:23:06 EST
SPY240924C00568000_580,SPY240924C00568000_580,Buy,Filled,2,2,1.7,1.7,DAY,09/24/2024 10:10:59 EST,09/24/2024 10:10:59 EST
SPY240924P00569000_693,SPY240924P00569000_693,Sell,Filled,2,2,1.18,1.18,DAY,09/24/2024 10:00:30 EST,09/24/2024 10:00:31 EST
SPY240924P00569000_173,SPY240924P00569000_173,Buy,Filled,2,2,0.97,0.97,DAY,09/24/2024 10:00:06 EST,09/24/2024 10:00:06 EST
SPY240918P00560000_668,SPY240918P00560000_668,Sell,Filled,1,1,1.82,1.82,DAY,09/18/2024 10:29:11 EST,09/18/2024 10:29:12 EST
SPY240918P00560000_403,SPY240918P00560000_403,Buy,Filled,1,1,1.99,1.99,DAY,09/18/2024 10:20:49 EST,09/18/2024 10:20:49 EST
SPY240918P00562000_825,SPY240918P00562000_825,Sell,Filled,2,2,2.7,2.7,DAY,09/18/2024 10:14:02 EST,09/18/2024 10:14:02 EST
SPY240918P00562000_688,SPY240918P00562000_688,Buy,Filled,2,2,2.85,2.85,DAY,09/18/2024 10:11:57 EST,09/18/2024 10:11:57 EST
SPY240916P00562000_825,SPY240916P00562000_825,Sell,Filled,1,1,1.54,1.54,DAY,09/16/2024 10:29:19 EST,09/16/2024 10:29:19 EST
SPY240916P00562000_550,SPY240916P00562000_550,Sell,Cancelled,0,1,1.1,,DAY,09/16/2024 10:27:14 EST,
SPY240916P00562000_828,SPY240916P00562000_828,Sell,Cancelled,0,1,2.12,,DAY,09/16/2024 10:27:14 EST,
SPY240916P00562000_302,SPY240916P00562000_302,Sell,Filled,1,1,1.44,1.44,DAY,09/16/2024 10:26:59 EST,09/16/2024 10:26:59 EST
SPY240916P00562000_957,SPY240916P00562000_957,Buy,Filled,2,2,1.16,1.16,DAY,09/16/2024 10:23:59 EST,09/16/2024 10:23:59 EST
SPY240911C00542000_848,SPY240911C00542000_848,Sell,Cancelled,0,1,2.31,,DAY,09/11/2024 11:13:20 EST,
SPY240911C00542000_379,SPY240911C00542000_379,Sell,Filled,1,1,1.78,1.78,DAY,09/11/2024 11:13:20 EST,09/11/2024 11:18:15 EST
SPY240911C00542000_533,SPY240911C00542000_533,Buy,Filled,1,1,1.77,1.77,DAY,09/11/2024 11:12:35 EST,09/11/2024 11:12:35 EST
SPY240911C00541000_845,SPY240911C00541000_845,Sell,Cancelled,0,1,3.24,,DAY,09/11/2024 11:08:58 EST,
SPY240911C00541000_667,SPY240911C00541000_667,Sell,Filled,1,1,1.86,1.86,DAY,09/11/2024 11:08:58 EST,09/11/2024 11:10:08 EST
SPY240911C00541000_948,SPY240911C00541000_948,Sell,Filled,1,1,2.23,2.23,DAY,09/11/2024 11:07:32 EST,09/11/2024 11:07:33 EST
SPY240911C00541000_339,SPY240911C00541000_339,Buy,Filled,2,2,1.83,1.83,DAY,09/11/2024 11:05:15 EST,09/11/2024 11:05:15 EST
SPY240909P00545000_449,SPY240909P00545000_449,Sell,Cancelled,0,1,4.44,,DAY,09/09/2024 10:31:26 EST,
SPY240909P00545000_479,SPY240909P00545000_479,Sell,Filled,1,1,1.98,1.98,DAY,09/09/2024 10:31:26 EST,09/09/2024 11:28:35 EST
SPY240909P00545000_816,SPY240909P00545000_816,Buy,Filled,1,1,1.98,1.98,DAY,09/09/2024 10:30:19 EST,09/09/2024 10:30:19 EST
SPY240909P00545000_312,SPY240909P00545000_312,Sell,Filled,1,1,1.6,1.6,DAY,09/09/2024 09:52:28 EST,09/09/2024 09:52:29 EST
SPY240909P00545000_527,SPY240909P00545000_527,Buy,Filled,1,1,2.01,2.01,DAY,09/09/2024 09:45:48 EST,09/09/2024 09:45:48 EST
SPY240904P00552000_602,SPY240904P00552000_602,Sell,Filled,1,1,2.71,2.71,DAY,09/04/2024 10:00:57 EST,09/04/2024 10:00:57 EST
SPY240904P00552000_658,SPY240904P00552000_658,Buy,Filled,1,1,2.5,2.5,DAY,09/04/2024 10:00:21 EST,09/04/2024 10:00:21 EST
SPY240904P00552000_165,SPY240904P00552000_165,Sell,Filled,1,1,1.64,1.64,DAY,09/04/2024 09:56:38 EST,09/04/2024 09:56:39 EST
SPY240904P00552000_287,SPY240904P00552000_287,Buy,Filled,1,1,1.82,1.82,DAY,09/04/2024 09:55:26 EST,09/04/2024 09:55:26 EST
SPY240904C00552000_677,SPY240904C00552000_677,Sell,Cancelled,0,1,2.81,,DAY,09/04/2024 09:49:50 EST,
SPY240904C00552000_927,SPY240904C00552000_927,Sell,Filled,1,1,1.73,1.73,DAY,09/04/2024 09:49:50 EST,09/04/2024 09:50:16 EST
SPY240904C00552000_276,SPY240904C00552000_276,Buy,Filled,1,1,1.72,1.72,DAY,09/04/2024 09:46:24 EST,09/04/2024 09:46:24 EST
SPY240903P00556000_719,SPY240903P00556000_719,Sell,Filled,1,1,1.69,1.69,DAY,09/03/2024 10:52:45 EST,09/03/2024 10:52:45 EST
SPY240903P00556000_285,SPY240903P00556000_285,Sell,Cancelled,0,1,1.5,,DAY,09/03/2024 10:49:28 EST,
SPY240903P00556000_133,SPY240903P00556000_133,Sell,Cancelled,0,1,2.02,,DAY,09/03/2024 10:49:28 EST,
SPY240903P00556000_195,SPY240903P00556000_195,Buy,Filled,1,1,1.49,1.49,DAY,09/03/2024 10:45:51 EST,09/03/2024 10:45:51 EST
SPY240903P00557000_670,SPY240903P00557000_670,Sell,Filled,2,2,1.61,1.61,DAY,09/03/2024 10:15:39 EST,09/03/2024 10:15:39 EST
SPY240903P00557000_208,SPY240903P00557000_208,Buy,Filled,2,2,1.46,1.46,DAY,09/03/2024 10:13:49 EST,09/03/2024 10:13:49 EST
SPY240816P00552000_230,SPY240816P00552000_230,Sell,Cancelled,0,1,1.42,,DAY,08/16/2024 10:34:25 EST,
SPY240816P00552000_311,SPY240816P00552000_311,Sell,Filled,1,1,0.89,0.89,DAY,08/16/2024 10:34:25 EST,08/16/2024 10:43:24 EST
SPY240816P00552000_435,SPY240816P00552000_435,Buy,Filled,1,1,0.95,0.95,DAY,08/16/2024 10:32:21 EST,08/16/2024 10:32:21 EST
SPY240813C00540000_624,SPY240813C00540000_624,Sell,Filled,1,1,1.69,1.69,DAY,08/13/2024 12:53:03 EST,08/13/2024 12:53:03 EST
SPY240813C00540000_297,SPY240813C00540000_297,Sell,Cancelled,0,1,1.86,,DAY,08/13/2024 12:43:49 EST,
SPY240813C00540000_533,SPY240813C00540000_533,Sell,Cancelled,0,1,0.8,,DAY,08/13/2024 12:43:49 EST,
SPY240813C00540000_162,SPY240813C00540000_162,Buy,Filled,1,1,1.12,1.12,DAY,08/13/2024 12:41:53 EST,08/13/2024 12:41:53 EST
SPY240813P00537000_988,SPY240813P00537000_988,Sell,Filled,1,1,1.36,1.36,DAY,08/13/2024 10:26:36 EST,08/13/2024 10:26:36 EST
SPY240813P00537000_302,SPY240813P00537000_302,Buy,Filled,1,1,1.63,1.63,DAY,08/13/2024 10:20:22 EST,08/13/2024 10:20:22 EST
SPY240813C00537000_679,SPY240813C00537000_679,Sell,Filled,1,1,1.98,1.98,DAY,08/13/2024 09:33:36 EST,08/13/2024 09:33:36 EST
SPY240813C00537000_629,SPY240813C00537000_629,Buy,Filled,1,1,1.87,1.87,DAY,08/13/2024 09:32:31 EST,08/13/2024 09:32:31 EST
SPY240809P00530000_661,SPY240809P00530000_661,Sell,Filled,3,3,1.89,1.89,DAY,08/09/2024 10:21:37 EST,08/09/2024 10:21:38 EST
SPY240809P00530000_369,SPY240809P00530000_369,Sell,Cancelled,0,3,3.14,,DAY,08/09/2024 10:20:24 EST,
SPY240809P00530000_366,SPY240809P00530000_366,Sell,Cancelled,0,3,1.52,,DAY,08/09/2024 10:20:24 EST,
SPY240809P00530000_145,SPY240809P00530000_145,Sell,Cancelled,0,3,2.35,,DAY,08/09/2024 10:15:32 EST,
SPY240809P00530000_774,SPY240809P00530000_774,Sell,Cancelled,0,3,1.45,,DAY,08/09/2024 10:15:32 EST,
SPY240809P00530000_985,SPY240809P00530000_985,Buy,Filled,3,3,2.29,2.29,DAY,08/09/2024 10:07:21 EST,08/09/2024 10:07:21 EST
SPY240808C00524000_829,SPY240808C00524000_829,Sell,Filled,1,1,3.43,3.43,DAY,08/08/2024 10:03:50 EST,08/08/2024 10:07:15 EST
SPY240808C00524000_844,SPY240808C00524000_844,Sell,Cancelled,0,1,4.76,,DAY,08/08/2024 10:03:50 EST,
SPY240808C00524000_727,SPY240808C00524000_727,Sell,Filled,1,1,3.91,3.91,DAY,08/08/2024 10:03:31 EST,08/08/2024 10:03:31 EST
SPY240808C00524000_679,SPY240808C00524000_679,Buy,Filled,2,2,3.43,3.43,DAY,08/08/2024 10:00:42 EST,08/08/2024 10:00:43 EST
SPY240808P00522000_982,SPY240808P00522000_982,Buy,Cancelled,0,2,2.64,,DAY,08/08/2024 09:51:19 EST,
SPY240807C00529000_999,SPY240807C00529000_999,Sell,Filled,1,1,3.56,3.56,DAY,08/07/2024 10:02:04 EST,08/07/2024 10:02:04 EST
